Title,Original Title,Other Titles,Rating,Rating People
114,剪刀手爱德华,Edward Scissorhands,"幻海奇缘(港), 剪刀手爱德华",8.7,1093448
115,断背山,Brokeback Mountain,"断臂山, BBM",8.8,754975
116,菊次郎的夏天,菊次郎の夏,"菊次郎之夏, Kikujirô no natsu",8.9,649172
117,勇敢的心,Braveheart,"惊世未了缘(港), 梅尔吉勃逊之英雄本色(台)",8.9,589801
118,未麻的部屋,Perfect Blue,"蓝色恐惧(港, 台) ",9.1,397326
119,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,"借物少女艾莉缇(台), 借东西的小矮人亚莉亚蒂(港)",8.9,602525
120,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,"哈利波特4：火杯的考验(港, 台) ",8.8,759602
121,茶馆,N/A,The Teahouse,9.6,186954
122,消失的爱人,Gone Girl,"失踪的女孩, 失踪女孩",8.7,1035777
123,时空恋旅人,About Time,"回到最爱的一天(港), 真爱每一天(台)",8.8,750552
124,无人知晓,誰も知らない,"谁知赤子心(港), 无人知晓的夏日清晨(台)",9.1,356783
125,头脑特工队,Inside Out,"玩转脑朋友(港), 脑筋急转弯(台)",8.8,750657
126,倩女幽魂,N/A,"倩女幽魂(87版), 倩女幽魂：妖魔道",8.8,792387
127,阳光灿烂的日子,N/A,In the Heat of the Sun,8.8,667196
128,完美的世界,A Perfect World,强盗保镳,9.1,345960
129,小森林 夏秋篇,リトル・フォレスト 夏・秋,"小森食光, 夏秋篇(台) ",9.0,456948
130,天使爱美丽,Le Fabuleux destin d'Amélie Poulain,"艾蜜莉的异想世界(台), 天使艾米莉",8.7,998861
131,驯龙高手,How to Train Your Dragon,驯龙记(港),8.8,820389
132,花样年华,花樣年華,"花样年华导演特别版, 花样年华4K修复版",8.8,749748
133,新世界,신세계,"暗黑新世界(台), New World",8.9,499436
134,侧耳倾听,耳をすませば,"心之谷(台), 梦幻街少女(港)",8.9,502248
135,请以你的名字呼唤我,Call Me by Your Name,"以你的名字呼唤我(港, 台) ",8.8,790324
136,傲慢与偏见,Pride & Prejudice,"傲慢与偏见2005, Pride And Prejudice",8.7,880451
137,怪兽电力公司,"Monsters, Inc.","怪兽公司(港), 怪物公司",8.8,738158
138,一个叫欧维的男人决定去死,En man som heter Ove,"明天别再来敲门(台), 想死冇咁易(港)",8.9,538098
